WESTERN REGION AVERAGE LOAD FORECAST,SOUTHERN REGION AVERAGE LOAD FORECAST,MID-ATLANTIC REGION AVERAGE LOAD FORECAST,RTO COMBINED AVERAGE LOAD FORECAST,WESTERN HUB DA LMP,RTO COMBINED WIND GEN,WESTERN REGION TOTAL OFFLINE GEN.,RTO COMBINED TOTAL OFFLINE GEN,WESTERN REGION TOTAL OFFLINE GEN.,RTO COMBINED TOTAL OFFLINE GEN. ,RTO COMBINED AVERAGE TIE FLOW,PJM-HTP DA AVERAGE FLOWS,PJM-LINDEN DA AVERAGE FLOWS,PJM-NEPT DA AVERAGE FLOWS,PJM-NYIS DA AVERAGE FLOWS,AVERAGE DA  IMPORT CPLE , AVERAGE DA IMPORT FROM DUK, AVERAGE IMPORT FROM NCMPA , AVERAGE DA IMPORT FROM SOUTH, AVERAGE DA EXPORT TO CPLE ,AVERAGE DA EXPORT DUK ,AVERAGE DA EXPORT TO NCMPA ,AVERAGE DA EXPORT TO SOUTH,PJM-MISO AVERAGE DA FLOWS ,PJM -NY AVERAGE IMPORT ,Henry HUB GAS PRICE Average,TETCO-M3 GAS PRICE,Michcon GAS PRICE,Transco-Z5 North GAS PRICE,OH - Columbus/Port Columbus Intl AVERAGE TEMP,IL - Chicago/O'Hare Intl AVERAGE TEMP,PA - Philadelphia/Intl AVERAGE TEMP.,VA - Richmond/Byrd Field AVERAGE TEMP.
40412,8356,25525,74293,21,3099,19350,32793,19350,32793,2664,158,156,0,-581,3,25,325,393,0,0,0,-235,2655,1643,3,2,3,3,59,44,58,58
38783,7734,23960,70477,21,2755,20267,33914,20267,33914,-1336,157,142,0,-485,3,0,255,481,0,0,0,-575,4,1425,3,2,3,3,57,41,57,58
37392,7455,22919,67766,20,2341,20267,33914,20267,33914,-1429,158,69,0,-544,3,0,270,337,0,0,0,-469,-107,1255,3,2,3,3,58,39,57,58
36663,7308,22318,66289,19,1895,20267,33914,20267,33914,-1136,144,170,0,-439,3,0,280,335,0,0,0,-597,-44,1263,3,2,3,3,58,37,56,59
36393,7293,22193,65879,19,1351,20267,33914,20267,33914,-1452,138,173,0,-474,3,0,285,234,0,0,0,-751,61,1015,3,2,3,3,55,36,56,61
36931,7490,22718,67139,20,1398,20267,33914,20267,33914,-1069,146,73,0,-432,3,0,275,255,0,0,0,-751,166,900,3,2,3,3,53,35,55,61
38960,8147,24403,71510,22,1312,20267,33914,20267,33914,-807,130,-102,0,-543,3,0,240,409,0,0,0,-640,556,945,3,2,3,3,54,35,56,61
42810,9257,27442,79509,30,1385,20267,33914,20267,33914,-555,151,41,0,-439,3,2,185,272,0,0,0,-323,1049,1427,3,2,3,3,52,34,57,61
45531,9748,29341,84620,29,1663,20267,33914,20267,33914,-1810,161,-20,0,-500,3,0,155,267,0,0,0,-313,277,1422,3,2,3,3,54,36,56,63
46196,9866,29893,85955,30,1809,20267,33914,20267,33914,-1276,56,180,0,-449,3,2,135,198,0,0,0,-315,186,1678,3,2,3,3,54,38,57,66
46396,10001,30184,86581,32,1763,20267,33914,20267,33914,-1663,54,288,0,-523,3,2,115,148,0,0,0,-303,377,1678,3,2,3,3,55,40,57,68
46547,10187,30447,87181,31,1604,20267,33914,20267,33914,-1665,55,304,0,-568,3,2,115,234,0,0,0,-263,30,1129,3,2,3,3,56,41,59,70
46449,10258,30480,87187,29,1811,20267,33914,20267,33914,-1569,55,314,0,-519,3,2,115,247,0,0,0,-286,54,1102,3,2,3,3,58,39,59,72
46197,10347,30386,86930,28,2274,20267,33914,20267,33914,-2058,53,274,0,-514,3,0,115,211,0,0,0,-316,-307,1130,3,2,3,3,59,37,60,72
46027,10470,30420,86917,27,2983,20267,33914,20267,33914,-1960,33,289,0,-470,3,0,115,196,0,0,0,-331,-314,1170,3,2,3,3,61,37,61,72
45755,10505,30442,86702,26,3424,20267,33914,20267,33914,-1413,136,282,0,-412,3,0,115,203,0,0,0,-339,-303,1397,3,2,3,3,60,37,62,72
45366,10518,30681,86565,26,3599,20267,33914,20267,33914,-1042,146,286,0,-534,3,0,115,511,0,0,0,-80,-319,1603,3,2,3,3,59,37,60,70
45813,10647,31850,88310,29,3862,20267,33914,20267,33914,-435,160,330,0,-582,3,0,115,467,0,0,0,-276,-151,1678,3,2,3,3,57,37,60,69
48261,11206,33251,92718,37,3664,20267,33914,20267,33914,809,93,302,0,-547,3,2,115,504,0,0,0,-261,313,1423,3,2,3,3,55,37,60,69
